               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10507,             0.05004,                   0,            0.074964,             0.18954,            0.042639,           0.0083779,            0.073365,            0.023915,                   0,             0.00033,             0.00033,             0.09703
                   1,            0.082459,            0.057489,                   0,             0.34552,             0.42442,             0.31578,             0.09747,            0.059131,            0.023937,                   0,          0.00066977,          0.00066977,             0.09397
                   2,             0.06727,            0.050412,                   0,             0.33562,             0.63394,             0.35799,            0.099172,            0.053298,            0.021687,                   0,           0.0010086,           0.0010086,            0.090909
                   3,            0.061079,            0.044533,                   0,             0.61842,             0.64616,             0.60718,             0.22074,            0.050537,            0.013884,                   0,           0.0013458,           0.0013458,            0.087846
                   4,            0.054734,            0.040843,                   0,             0.71427,             0.64052,             0.71688,             0.34961,            0.042968,            0.012709,                   0,           0.0016806,           0.0016806,            0.084781
                   5,            0.053756,            0.041392,                   0,             0.59454,             0.65172,             0.62641,             0.30048,            0.047607,            0.011507,                   0,           0.0020124,           0.0020124,            0.081712
                   6,            0.050975,            0.040162,                   0,             0.50377,             0.70588,             0.61078,              0.2807,            0.044223,            0.010434,                   0,           0.0023405,           0.0023405,            0.078641
                   7,            0.048126,            0.038384,                   0,             0.74978,             0.74424,             0.79038,             0.42964,            0.039874,            0.010467,                   0,           0.0026642,           0.0026642,            0.075564
                   8,            0.047784,            0.038066,                   0,             0.55212,             0.82989,             0.69517,             0.34363,             0.04525,             0.01058,                   0,           0.0029828,           0.0029828,            0.072483
                   9,            0.044748,            0.035258,                   0,             0.85415,             0.80381,             0.82894,             0.49885,             0.03508,             0.01037,                   0,           0.0032957,           0.0032957,            0.069396
                  10,            0.044255,            0.036346,                   0,             0.67424,             0.75817,             0.77258,             0.37815,            0.039755,            0.010255,                   0,           0.0036022,           0.0036022,            0.066302
                  11,            0.042286,            0.035884,                   0,             0.86298,             0.82333,             0.87995,             0.54491,            0.033902,            0.010416,                   0,           0.0039018,           0.0039018,            0.063202
                  12,            0.042725,            0.036152,                   0,             0.87026,             0.79085,             0.87141,             0.49507,            0.037465,            0.010139,                   0,           0.0041937,           0.0041937,            0.060094
                  13,            0.041899,            0.034982,                   0,             0.90748,              0.8366,             0.90409,             0.55429,            0.034549,            0.010019,                   0,           0.0044775,           0.0044775,            0.056977
                  14,             0.04229,            0.033621,                   0,             0.88758,             0.72549,             0.85678,             0.53479,            0.033377,            0.010244,                   0,           0.0047525,           0.0047525,            0.053852
                  15,            0.047483,             0.03532,                   0,             0.93154,             0.80392,             0.91915,             0.55969,            0.031201,           0.0099989,                   0,           0.0050182,           0.0050182,            0.050718
                  16,            0.046354,            0.034461,                   0,             0.85859,             0.79739,             0.88691,             0.56587,            0.034478,            0.011164,                   0,           0.0052741,           0.0052741,            0.047574
                  17,            0.041953,            0.033949,                   0,             0.90695,             0.76447,             0.85326,               0.528,            0.034847,            0.010999,                   0,           0.0055197,           0.0055197,             0.04442
                  18,            0.042456,            0.032566,                   0,             0.95312,             0.79734,             0.89296,             0.59465,             0.03121,            0.010021,                   0,           0.0057546,           0.0057546,            0.041255
                  19,            0.041617,            0.034394,                   0,             0.87162,             0.84311,              0.9063,             0.58847,            0.030394,           0.0095173,                   0,           0.0059782,           0.0059782,            0.038078
                  20,              0.0397,            0.034163,                   0,             0.94355,             0.76467,              0.9011,             0.61641,            0.029471,           0.0096457,                   0,           0.0061903,           0.0061903,             0.03489
                  21,            0.040875,            0.034609,                   0,             0.89721,             0.85576,             0.89725,             0.59954,            0.031142,           0.0098826,                   0,           0.0063903,           0.0063903,             0.03169
                  22,            0.038283,            0.031271,                   0,             0.96059,              0.7965,              0.9061,             0.58927,            0.029974,           0.0099377,                   0,            0.006578,            0.006578,            0.028478
                  23,             0.03882,            0.033279,                   0,             0.73625,             0.69935,             0.74881,             0.47842,            0.037489,            0.013598,                   0,            0.006753,            0.006753,            0.025253
                  24,            0.037206,            0.032752,                   0,             0.93594,             0.76395,             0.87708,             0.59341,            0.031163,           0.0097505,                   0,           0.0069151,           0.0069151,            0.022015
                  25,             0.03628,             0.03295,                   0,             0.89978,             0.82353,             0.90447,              0.6079,            0.029973,           0.0098513,                   0,           0.0070641,           0.0070641,            0.018764
                  26,            0.036213,            0.031144,                   0,             0.89992,             0.82353,             0.89071,             0.57162,            0.031659,            0.010408,                   0,           0.0071996,           0.0071996,              0.0155
                  27,            0.035601,            0.031507,                   0,              0.9051,             0.81046,             0.89875,             0.62088,            0.029962,           0.0097158,                   0,           0.0073216,           0.0073216,            0.012222
                  28,            0.035772,            0.032164,                   0,             0.91509,             0.77778,             0.87281,             0.58661,            0.032752,            0.010711,                   0,           0.0074298,           0.0074298,           0.0089298
                  29,            0.035222,            0.031597,                   0,             0.83782,             0.81035,             0.86279,             0.57856,            0.030335,            0.010849,                   0,            0.007384,            0.007384,            0.007384
                  30,            0.035005,            0.031527,                   0,             0.93833,             0.84314,             0.90009,             0.59741,            0.030432,            0.010311,                   0,            0.007384,            0.007384,            0.007384
                  31,            0.034454,            0.033514,                   0,             0.90185,             0.78431,             0.87347,             0.56708,            0.032496,            0.010406,                   0,           0.0072221,           0.0072221,           0.0072221
                  32,            0.033995,            0.031263,                   0,             0.82638,             0.77773,             0.84222,             0.58074,            0.031122,            0.010448,                   0,           0.0070575,           0.0070575,           0.0070575
                  33,            0.034894,            0.032685,                   0,             0.95998,             0.78392,             0.90515,             0.62054,            0.031414,           0.0098409,                   0,           0.0068906,           0.0068906,           0.0068906
                  34,            0.032432,             0.03027,                   0,             0.88489,             0.80391,             0.88275,             0.58143,            0.031395,            0.010469,                   0,           0.0067215,           0.0067215,           0.0067215
                  35,            0.032719,            0.030003,                   0,             0.87159,             0.84314,             0.89411,             0.60414,            0.028401,            0.010306,                   0,           0.0065505,           0.0065505,           0.0065505
                  36,            0.031857,            0.031707,                   0,             0.95245,             0.79085,             0.90017,             0.60644,            0.029661,            0.010539,                   0,           0.0063779,           0.0063779,           0.0063779
                  37,            0.032045,             0.03099,                   0,             0.95237,             0.78415,             0.88419,             0.59584,            0.030285,            0.011049,                   0,            0.006204,            0.006204,            0.006204
                  38,             0.03166,             0.03162,                   0,             0.88416,             0.84967,             0.90162,             0.61153,            0.028779,           0.0099665,                   0,           0.0060289,           0.0060289,           0.0060289
                  39,            0.031809,            0.030014,                   0,             0.88778,             0.83007,             0.89949,             0.60843,            0.028387,            0.010057,                   0,           0.0058531,           0.0058531,           0.0058531
